Frame,ConfigIndex,VectorType,Length,Forward,MaxILsb,MaxQLsb,Gt1LsbCount,RmsComplexLsb,EvmRms,FirstMismatchBin,FirstMismatchComponent
0,0,ZERO,2048,1,0,0,0,0,0,-1,NONE
1,0,QUARTER_GRID_SPARSE_EXACT,2048,1,0,0,0,0,0,-1,NONE
2,1,ZERO,4096,0,0,0,0,0,0,-1,NONE
3,1,QUARTER_GRID_SPARSE_EXACT,4096,0,0,0,0,0,0,-1,NONE
4,2,ZERO,8192,1,0,0,0,0,0,-1,NONE
5,2,QUARTER_GRID_SPARSE_EXACT,8192,1,0,0,0,0,0,-1,NONE
6,3,ZERO,16384,0,0,0,0,0,0,-1,NONE
7,3,QUARTER_GRID_SPARSE_EXACT,16384,0,0,0,0,0,0,-1,NONE
