Frame,ConfigIndex,VectorType,Length,Forward,ConfigWord,ScaleSchedule,TotalShift,SparseAmplitude
0,0,ZERO,2048,1,0x0D570B,0x06AB,12,0
1,0,QUARTER_GRID_SPARSE_EXACT,2048,1,0x0D570B,0x06AB,12,1024
2,1,ZERO,4096,0,0x15560C,0x0AAB,13,0
3,1,QUARTER_GRID_SPARSE_EXACT,4096,0,0x15560C,0x0AAB,13,2048
4,2,ZERO,8192,1,0x35570D,0x1AAB,14,0
5,2,QUARTER_GRID_SPARSE_EXACT,8192,1,0x35570D,0x1AAB,14,4096
6,3,ZERO,16384,0,0x55560E,0x2AAB,15,0
7,3,QUARTER_GRID_SPARSE_EXACT,16384,0,0x55560E,0x2AAB,15,8192
