clock,module,endpoints,old_WNS_ns,old_TNS_ns,margin_deficit_ns
clk500,sfo/residual_estimator/aux_service/u_ingress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdp_inst,16,-0.048,-0.134,4.22
clk500,cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdpp1_inst,11,-0.028,-0.062,4.02
clk500,cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdp_inst,16,0.065,0,3.323
clk500,sfo/residual_estimator/aux_service/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst,17,0.002,0,3.225
clk500,sfo/residual_estimator/aux_service/u_ingress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdpp1_inst,11,0.041,0,2.835
clk500,sfo/residual_estimator/aux_service/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp2_inst,16,0.092,0,2.777
clk500,cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp1_inst,5,-0.131,-0.496,2.496
clk500,cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp2_inst,5,-0.11,-0.464,2.464
clk500,sfo/residual_estimator/aux_service/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrp_inst,20,0.168,0,2.447
clk500,cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrp_inst,5,-0.131,-0.437,2.4370000000000003
clk500,cfo/estimator/observation_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_0_15_28_41,16,0.26,0,2.24
clk500,cfo/estimator/observation_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_0_15_14_27,16,0.266,0,2.144
clk500,sfo/residual_estimator/front_stage/main/service/u_ingress_fifo,20,-0.043,-0.043,2.071
clk500,cfo/estimator/observation_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_0_15_42_55,16,0.278,0,1.952
clk500,cfo/observation_front/fft_core/ri3_reg,15,0.17,0,1.726
clk500,sfo/residual_estimator/aux_service/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp1_inst,19,0.199,0,1.599
clk500,sfo/residual_estimator/aux_service/u_ingress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst,21,0.01,0,1.555
clk500,cfo/observation_front/fft_core/rr3_reg,9,0.052,0,1.458
clk500,cfo/estimator/observation_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_0_15_70_83,16,0.309,0,1.456
clk500,cfo/observation_front/fft_core/pr4_reg,15,0.145,0,1.391
clk500,sfo/residual_estimator/aux_service/u_ingress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_fwft.rdpp1_inst,6,0.098,0,1.114
clk500,cfo/windows/complete_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst,3,-0.068,-0.091,0.984
clk500,cfo/estimator/observation_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_0_15_140_153,16,0.347,0,0.848
clk500,cfo/estimator/observation_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_0_15_98_111,16,0.348,0,0.832
clk500,cfo/estimator/observation_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_0_15_84_97,16,0.355,0,0.72
clk500,cfo/observation_front/fft_core/pi4_reg,5,0.058,0,0.634
clk500,sfo/residual_estimator/front_stage/main/service/u_egress_fifo,7,0.241,0,0.55
clk500,cfo/windows/complete_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdp_inst,10,0.312,0,0.531
clk500,cfo/windows/complete_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdpp1_inst,10,0.312,0,0.517
clk500,cfo/estimator/observation_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_0_15_56_69,16,0.369,0,0.496
clk500,cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_cdc_pntr.rd_pntr_cdc_dc_inst,10,0.289,0,0.432
clk500,sfo/residual_estimator/aux_service,1,0.027,0,0.373
clk500,sfo/initial_estimator/owner/fft,1,0.046,0,0.354
clk500,cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst,2,0.195,0,0.254
clk500,cfo/windows/complete_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst,2,0.232,0,0.253
clk500,cfo/estimator/observation_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_0_15_0_13,16,0.385,0,0.24
clk500,sfo/residual_estimator/aux_service/u_ingress_fifo/gnuram_async_fifo.xpm_fifo_base_inst,3,0.189,0,0.235
clk500,cfo/windows/reset_fast,1,0.174,0,0.226
clk500,sfo/initial_estimator/owner/fft/u_ingress_fifo/gnuram_async_fifo.xpm_fifo_base_inst,3,0.271,0,0.196
clk500,cfo/windows/complete_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_cdc_pntr.wpr_gray_reg,2,0.315,0,0.17
clk500,cfo/observation_front/index_base_reg,1,0.251,0,0.149
clk500,sfo/residual_estimator/aux_service/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst,1,0.301,0,0.099
clk500,cfo/estimator/observation_fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp2_inst,4,0.376,0,0.084
clk500,sfo/residual_estimator/aux_service/u_ingress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_cdc_pntr.wpr_gray_reg,1,0.319,0,0.081
clk500,sfo/residual_estimator/aux_service/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst,1,0.376,0,0.024
clk500,cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst,1,0.378,0,0.022
