GROUP,SLACK,REQUIREMENT,STARTPOINT_PIN,ENDPOINT_PIN,DATAPATH_DELAY,LOGIC_LEVELS
"clk125","0.153","8.000","sfo/initial_estimator/service/fatal_latched_reg/C","sfo/initial_estimator/service/frontend/capture/u_reader/u_output_fifo/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_rd_b.gen_doutb_pipe.doutb_pipe_reg[0][172]/CE","7.742","17"
"clk125","0.153","8.000","sfo/initial_estimator/service/fatal_latched_reg/C","sfo/initial_estimator/service/frontend/capture/u_reader/u_output_fifo/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_rd_b.gen_doutb_pipe.doutb_pipe_reg[0][177]/CE","7.742","17"
"clk125","0.155","8.000","sfo/initial_estimator/service/fatal_latched_reg/C","sfo/initial_estimator/service/frontend/capture/u_reader/u_output_fifo/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_rd_b.gen_doutb_pipe.doutb_pipe_reg[0][170]/CE","7.740","17"
"clk125","0.155","8.000","sfo/initial_estimator/service/fatal_latched_reg/C","sfo/initial_estimator/service/frontend/capture/u_reader/u_output_fifo/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_rd_b.gen_doutb_pipe.doutb_pipe_reg[0][171]/CE","7.740","17"
"clk125","0.171","8.000","sfo/initial_estimator/service/fatal_latched_reg/C","sfo/initial_estimator/service/frontend/capture/u_reader/u_output_fifo/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_rd_b.doutb_reg_reg[176]/CE","7.724","17"
"clk125","0.171","8.000","sfo/initial_estimator/service/fatal_latched_reg/C","sfo/initial_estimator/service/frontend/capture/u_reader/u_output_fifo/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_rd_b.doutb_reg_reg[178]/CE","7.724","17"
"clk125","0.171","8.000","sfo/initial_estimator/service/fatal_latched_reg/C","sfo/initial_estimator/service/frontend/capture/u_reader/u_output_fifo/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_rd_b.doutb_reg_reg[180]/CE","7.724","17"
"clk125","0.172","8.000","sfo/initial_estimator/service/fatal_latched_reg/C","sfo/initial_estimator/service/frontend/capture/u_reader/u_output_fifo/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_rd_b.doutb_reg_reg[177]/CE","7.723","17"
"clk125","0.172","8.000","sfo/initial_estimator/service/fatal_latched_reg/C","sfo/initial_estimator/service/frontend/capture/u_reader/u_output_fifo/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_rd_b.doutb_reg_reg[179]/CE","7.723","17"
"clk125","0.172","8.000","sfo/initial_estimator/service/fatal_latched_reg/C","sfo/initial_estimator/service/frontend/capture/u_reader/u_output_fifo/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_rd_b.doutb_reg_reg[181]/CE","7.723","17"
"clk125","0.197","8.000","sfo/initial_estimator/service/fatal_latched_reg/C","sfo/initial_estimator/service/frontend/capture/u_reader/u_output_fifo/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_rd_b.gen_doutb_pipe.doutb_pipe_reg[0][243]/CE","7.698","17"
"clk125","0.197","8.000","sfo/initial_estimator/service/fatal_latched_reg/C","sfo/initial_estimator/service/frontend/capture/u_reader/u_output_fifo/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_rd_b.gen_doutb_pipe.doutb_pipe_reg[0][247]/CE","7.698","17"
"clk125","0.197","8.000","sfo/initial_estimator/service/fatal_latched_reg/C","sfo/initial_estimator/service/frontend/capture/u_reader/u_output_fifo/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_rd_b.gen_doutb_pipe.doutb_pipe_reg[0][249]/CE","7.698","17"
"clk125","0.197","8.000","sfo/initial_estimator/service/fatal_latched_reg/C","sfo/initial_estimator/service/frontend/capture/u_reader/u_output_fifo/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_rd_b.gen_doutb_pipe.doutb_pipe_reg[0][251]/CE","7.698","17"
"clk125","0.198","8.000","sfo/initial_estimator/service/fatal_latched_reg/C","sfo/initial_estimator/service/frontend/capture/u_reader/u_output_fifo/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_rd_b.gen_doutb_pipe.doutb_pipe_reg[0][168]/CE","7.697","17"
"clk125","0.198","8.000","sfo/initial_estimator/service/fatal_latched_reg/C","sfo/initial_estimator/service/frontend/capture/u_reader/u_output_fifo/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_rd_b.gen_doutb_pipe.doutb_pipe_reg[0][228]/CE","7.697","17"
"clk125","0.198","8.000","sfo/initial_estimator/service/fatal_latched_reg/C","sfo/initial_estimator/service/frontend/capture/u_reader/u_output_fifo/xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_rd_b.gen_doutb_pipe.doutb_pipe_reg[0][238]/CE","7.697","17"
