4294770678,131072,4294836218,262147
262143,4294377472,458753,4294508552
458747,4294377462,4294377469,4294311944
4294311943,4294770697,655355,4294705145
524291,4294705147,4294377475,4294377467
589829,4294836214,4294967295,4294705154
458747,327676,720890,327684
655354,393216,262139,393222
4294901767,4294967290,196609,327688
131062,589831,4294443008,65528
4294574081,589831,0,1
4294836229,524297,524297,327682
4294311946,4294574071,4294705156,4294377473
65531,131063,458748,4294574075
4294443011,4294639610,4294770678,4294901765
4294377475,589826,4294705158,720890
458755,4294836233,196607,589828
4294508547,655361,4294967295,4294901767
458760,65535,4294836228,327676
327672,4294770696,458745,655351
262152,4294508547,655353,262138
4294639608,196610,65528,655358
4294377469,4294508551,4294639606,4294770690
589814,4294508553,327679,65527
4294705156,4294574087,4294639623,458746
4294639611,262154,4294377470,4294574076
4294705152,4294311945,524297,655353
589831,131081,4294574089,196598
393225,4294443007,458750,262144
4294508539,4294574082,3,655367
4294508543,4294639606,655365,393225
4294770692,65541,4294639624,4294901763
4294574070,4294311946,262141,196607
4294770681,393222,4294574083,524278
4294442999,393226,196608,4294705161
4294836229,4294639620,458744,4294508541
4294901770,4294705143,8,196599
4294901765,4294836216,131066,4294770687
131076,4294836222,4294508547,196605
196618,4294574078,4294901764,4294443009
4294443001,458746,4294377468,458754
458742,4294770685,4294901755,4294508543
262141,196611,4294443014,655367
196617,4294508539,196608,4294508539
4294508552,131079,4294901757,393213
131068,65537,327676,524291
458751,4294639618,196617,4294639623
458744,655370,131066,4294574082
4294836219,4294377474,4294836225,327689
4294836214,458755,393223,4294705159
458745,65540,327679,4294508551
4294639607,4294311942,4294377465,4294508541
4294901759,458759,4294443006,4294508546
196611,4294377479,720892,327672
4294639624,524281,9,589830
4294901753,327681,327685,458758
720893,4294967292,4294705147,4294836222
4294377482,589827,4294836229,327685
65542,4294836222,4294574073,4294967293
458749,4294705152,589821,4294836226
4294836224,4294901764,4294770689,131064
196604,4294967287,3,196609
4294443004,4294443011,4294574088,655353
262143,4294770691,4294705148,65545
4294705154,4294705143,4294377471,4294574087
4294770678,589831,393213,327674
4294705159,589828,65545,393207
131062,4294639621,524290,4294574089
4294443002,131075,4294901755,458754
4294705143,4294770694,655350,4294377477
524293,4294311939,720893,4294967289
4294770694,458749,4294311942,4294836228
65538,131075,65544,4294770685
4294443012,327686,720893,458750
4294639606,196615,524286,393214
4294836220,4294377469,4294443011,4294705160
4294705152,393219,262143,524287
65535,327688,4294574075,262137
196603,720888,4294639622,4294836222
393207,393222,4294443004,4294377476
4294836227,4294443007,4294967289,65530
262136,524292,4294705156,524292
589816,524289,4294574084,131071
4294574086,458760,196608,4294901753
393216,655370,4294639607,458754
4294836214,393216,4294311943,589821
458742,4294836223,4294443004,458742
393225,4294901752,327682,4294508539
4,4294770678,4294639625,4294770695
4294311936,4294705150,4294639608,524290
6,4294639622,4294967295,8
196605,131067,4294508548,655369
4294443003,4294770689,262149,262141
4294836227,4294311937,262138,131076
196616,4294705145,327681,1
4294311942,10,4294377463,196615
327683,196617,131063,393225
4294836224,4294705156,524290,327675
4294705158,65531,458745,131070
196612,4294508554,4294639621,4294377463
458753,655352,458759,589834
4294508543,4294639609,4294443008,4294311945
4294705156,589826,4294443018,4294705142
655366,196602,4294377470,4294770696
655352,4294705144,327676,393206
655365,524283,4294508540,4294574079
655353,655368,4294836215,262146
4294574086,4294770678,589831,458744
393207,196618,4294574071,327677
589826,720895,720886,4294901758
4294901750,4294639621,4294508549,131079
327685,65545,4294901763,655354
4294443001,4294705152,327680,589830
4294377478,720893,655365,4294967289
4294901751,4294574071,4294508548,196618
4294770683,4294377465,4294639614,720891
4294574071,655355,327676,4294508539
4294377479,4294574074,458752,4294377473
589827,196603,4294443014,4294901750
4294574084,4294377481,196617,4
131081,655351,393224,4294770685
4294705159,720892,655353,4294574081
4294705151,4294901769,524278,393211
4294901750,65535,393221,196605
524280,4294377466,65538,131080
196601,4294705142,393221,458744
4294770698,393223,5,262137
458752,655351,131067,4294574072
393206,262143,4294574074,655367
262135,4294377462,4294377469,4294443015
4294377481,4294377466,393207,4294639615
458748,458762,458744,4294377470
4294443012,4294443006,524292,4294705153
655364,4294705155,4294770687,4294639611
4294443002,655367,4294311945,4294967286
4294311945,4294836224,524292,4294508547
4294836224,262153,196616,655356
655360,655357,4294574070,655354
655353,4294967291,4294639617,8
589829,4294705145,4294442998,458751
4294639606,65540,327678,4294443018
4294443002,4294508552,4294311939,393221
4294574072,4294377479,4294836221,131077
4294639617,262150,4294508553,262139
4294901764,7,393209,262146
4294705150,458753,262153,262141
524278,4294705161,393206,589826
720888,327683,4294639624,4294377472
4294508540,524286,327687,4294574081
