"GROUP","SLACK","REQUIREMENT","STARTPOINT_PIN","ENDPOINT_PIN","STARTPOINT_CLOCK","ENDPOINT_CLOCK","DATAPATH_DELAY","LOGIC_LEVELS","SKEW","UNCERTAINTY"
"clk500","-0.675","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[5]","clk500","clk500","2.377","7","0.009","0.035"
"clk500","-0.674","2.000","cfo/observation_front/fft_core/sub_i6_reg[4]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/DINPADINP[3]","clk500","clk500","2.427","8","0.010","0.035"
"clk500","-0.674","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/group_base_reg[10]/CE","clk500","clk500","2.570","6","-0.010","0.035"
"clk500","-0.674","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/group_base_reg[7]/CE","clk500","clk500","2.569","6","-0.010","0.035"
"clk500","-0.674","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/group_base_reg[8]/CE","clk500","clk500","2.569","6","-0.010","0.035"
"clk500","-0.674","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/group_base_reg[9]/CE","clk500","clk500","2.569","6","-0.010","0.035"
"clk500","-0.673","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[24]","clk500","clk500","2.382","8","0.009","0.035"
"clk500","-0.669","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[23]","clk500","clk500","2.397","8","0.009","0.035"
"clk500","-0.669","2.000","cfo/observation_front/fft_core/sub_i6_reg[4]/C","cfo/observation_front/fft_core/bank0_reg_bram_1/DINADIN[4]","clk500","clk500","2.387","8","0.012","0.035"
"clk500","-0.668","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[15]","clk500","clk500","2.385","7","0.009","0.035"
"clk500","-0.667","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/tw_stride_reg[8]/CE","clk500","clk500","2.563","6","-0.010","0.035"
"clk500","-0.667","2.000","cfo/observation_front/fft_core/add_i6_reg[10]/C","cfo/observation_front/fft_core/bank0_reg_bram_1/DINADIN[8]","clk500","clk500","2.376","7","0.013","0.035"
"clk150","-0.666","6.667","sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[17]/C","sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_121/CAS_IN_BWE_B[7]","clk150","clk150","6.888","13","0.035","0.035"
"clk500","-0.664","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_i_reg[2]/CE","clk500","clk500","2.559","6","-0.009","0.035"
"clk500","-0.664","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_q_reg[13]/CE","clk500","clk500","2.559","6","-0.009","0.035"
"clk500","-0.663","2.000","cfo/observation_front/fft_core/sub_i6_reg[4]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[26]","clk500","clk500","2.396","8","0.010","0.035"
"clk500","-0.663","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/tw_stride_reg[0]/CE","clk500","clk500","2.559","6","-0.009","0.035"
"clk500","-0.663","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/tw_stride_reg[1]/CE","clk500","clk500","2.559","6","-0.009","0.035"
"clk500","-0.663","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/tw_stride_reg[5]/CE","clk500","clk500","2.559","6","-0.009","0.035"
"clk500","-0.663","2.000","cfo/observation_front/fft_core/add_i6_reg[10]/C","cfo/observation_front/fft_core/bank0_reg_bram_1/DINADIN[7]","clk500","clk500","2.384","7","0.013","0.035"
"clk500","-0.661","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_q_reg[17]/CE","clk500","clk500","2.556","6","-0.009","0.035"
"clk500","-0.661","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_q_reg[3]/CE","clk500","clk500","2.556","6","-0.009","0.035"
"clk500","-0.661","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_q_reg[5]/CE","clk500","clk500","2.556","6","-0.009","0.035"
"clk500","-0.661","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[13]","clk500","clk500","2.391","7","0.009","0.035"
"clk500","-0.661","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[3]","clk500","clk500","2.367","7","0.009","0.035"
"clk500","-0.659","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_i_reg[1]/CE","clk500","clk500","2.554","6","-0.010","0.035"
"clk500","-0.659","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_i_reg[0]/CE","clk500","clk500","2.555","6","-0.010","0.035"
"clk500","-0.657","2.000","cfo/observation_front/fft_core/sub_i6_reg[4]/C","cfo/observation_front/fft_core/bank0_reg_bram_1/DINADIN[6]","clk500","clk500","2.390","8","0.012","0.035"
"clk150","-0.657","6.667","sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[17]/C","sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_97/CAS_IN_BWE_B[3]","clk150","clk150","6.982","13","0.035","0.035"
"clk150","-0.657","6.667","sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[17]/C","sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_97/CAS_IN_EN_B","clk150","clk150","7.035","13","0.035","0.035"
"clk500","-0.656","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_q_reg[22]/CE","clk500","clk500","2.551","6","-0.010","0.035"
"clk500","-0.655","2.000","cfo/observation_front/fft_core/sub_i6_reg[4]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[28]","clk500","clk500","2.388","8","0.010","0.035"
"clk500","-0.655","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[2]","clk500","clk500","2.353","7","0.009","0.035"
"clk500","-0.653","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_i_reg[4]/CE","clk500","clk500","2.548","6","-0.010","0.035"
"clk500","-0.653","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_i_reg[7]/CE","clk500","clk500","2.548","6","-0.010","0.035"
"clk500","-0.653","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_q_reg[0]/CE","clk500","clk500","2.548","6","-0.010","0.035"
"clk500","-0.649","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_i_reg[12]/CE","clk500","clk500","2.544","6","-0.009","0.035"
"clk500","-0.649","2.000","cfo/windows/sample_index_reg[8]/C","cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_13/REGCEB","clk500","clk500","2.393","4","0.012","0.035"
"clk500","-0.647","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[21]","clk500","clk500","2.376","8","0.009","0.035"
"clk500","-0.647","2.000","cfo/windows/sample_index_reg[5]/C","cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_11/ENBWREN","clk500","clk500","2.282","3","0.012","0.035"
"clk500","-0.647","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[1]","clk500","clk500","2.327","7","0.009","0.035"
"clk500","-0.642","2.000","cfo/observation_front/fft_core/add_i6_reg[10]/C","cfo/observation_front/fft_core/bank0_reg_bram_1/DINADIN[5]","clk500","clk500","2.369","7","0.013","0.035"
"clk150","-0.641","6.667","sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[17]/C","sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_97/CAS_IN_BWE_B[8]","clk150","clk150","6.890","13","0.035","0.035"
"clk500","-0.640","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[22]","clk500","clk500","2.348","8","0.009","0.035"
"clk500","-0.640","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[1]","clk500","clk500","2.320","7","0.009","0.035"
"clk500","-0.635","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_index_reg[0]/CE","clk500","clk500","2.530","6","-0.010","0.035"
"clk500","-0.634","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[16]","clk500","clk500","2.347","7","0.009","0.035"
"clk150","-0.633","6.667","sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[17]/C","sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_121/CAS_IN_BWE_B[4]","clk150","clk150","6.897","13","0.035","0.035"
"clk500","-0.631","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_i_reg[23]/CE","clk500","clk500","2.526","6","-0.010","0.035"
"clk500","-0.631","2.000","cfo/observation_front/fft_core/sub_q6_reg[0]/C","cfo/observation_front/fft_core/m_saturations_reg[13]/D","clk500","clk500","2.613","12","-0.008","0.035"
"clk500","-0.630","2.000","cfo/observation_front/fft_core/sub_i6_reg[4]/C","cfo/observation_front/fft_core/bank0_reg_bram_1/DINADIN[11]","clk500","clk500","2.361","8","0.012","0.035"
"clk500","-0.629","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_i_reg[5]/CE","clk500","clk500","2.524","6","-0.009","0.035"
"clk500","-0.629","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_i_reg[8]/CE","clk500","clk500","2.524","6","-0.009","0.035"
"clk500","-0.629","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_q_reg[21]/CE","clk500","clk500","2.524","6","-0.009","0.035"
"clk500","-0.627","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[6]","clk500","clk500","2.357","7","0.009","0.035"
"clk150","-0.627","6.667","sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[17]/C","sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_121/CAS_IN_BWE_B[2]","clk150","clk150","6.988","13","0.035","0.035"
"clk500","-0.626","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[8]","clk500","clk500","2.339","7","0.009","0.035"
"clk500","-0.626","2.000","cfo/observation_front/fft_core/sub_q6_reg[0]/C","cfo/observation_front/fft_core/m_saturations_reg[8]/D","clk500","clk500","2.609","12","-0.007","0.035"
"clk150","-0.626","6.667","sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[17]/C","sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_97/CAS_IN_EN_A","clk150","clk150","6.853","13","0.035","0.035"
"clk500","-0.625","2.000","cfo/reset_fast/arststages_ff_reg[3]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/ADDRBWRADDR[14]","clk500","clk500","2.272","4","0.011","0.035"
"clk500","-0.624","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_i_reg[3]/CE","clk500","clk500","2.519","6","-0.010","0.035"
"clk500","-0.624","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_i_reg[9]/CE","clk500","clk500","2.519","6","-0.010","0.035"
"clk500","-0.624","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_q_reg[24]/CE","clk500","clk500","2.519","6","-0.010","0.035"
"clk500","-0.623","2.000","cfo/observation_front/fft_core/sub_i6_reg[4]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/DINADIN[14]","clk500","clk500","2.356","8","0.010","0.035"
"clk500","-0.623","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[22]","clk500","clk500","2.331","8","0.009","0.035"
"clk500","-0.622","2.000","cfo/observation_front/fft_core/sub_i6_reg[4]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/DINADIN[12]","clk500","clk500","2.332","9","0.010","0.035"
"clk500","-0.621","2.000","cfo/observation_front/fft_core/sub_q6_reg[0]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[16]","clk500","clk500","2.336","9","0.011","0.035"
"clk500","-0.620","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_index_reg[6]/CE","clk500","clk500","2.515","6","-0.010","0.035"
"clk500","-0.620","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_index_reg[7]/CE","clk500","clk500","2.516","6","-0.010","0.035"
"clk500","-0.620","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_index_reg[8]/CE","clk500","clk500","2.515","6","-0.010","0.035"
"clk500","-0.620","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_index_reg[9]/CE","clk500","clk500","2.516","6","-0.010","0.035"
"clk500","-0.620","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_q_reg[18]/CE","clk500","clk500","2.515","6","-0.010","0.035"
"clk500","-0.619","2.000","cfo/windows/sample_index_reg[8]/C","cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_10/ENBWREN","clk500","clk500","2.254","4","0.012","0.035"
"clk500","-0.617","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[9]","clk500","clk500","2.332","7","0.009","0.035"
"clk150","-0.617","6.667","sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[17]/C","sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_121/CAS_IN_EN_A","clk150","clk150","6.844","13","0.035","0.035"
"clk150","-0.617","6.667","sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[17]/C","sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_121/CAS_IN_BWE_B[8]","clk150","clk150","6.866","13","0.035","0.035"
"clk500","-0.616","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[20]","clk500","clk500","2.351","8","0.009","0.035"
"clk500","-0.615","2.000","cfo/observation_front/fft_core/add_i6_reg[10]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[27]","clk500","clk500","2.330","7","0.011","0.035"
"clk500","-0.615","2.000","cfo/observation_front/fft_core/sub_q6_reg[0]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[10]","clk500","clk500","2.343","9","0.011","0.035"
"clk500","-0.615","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_i_reg[11]/CE","clk500","clk500","2.510","6","-0.010","0.035"
"clk500","-0.615","2.000","cfo/observation_front/fft_core/m_generation_reg[9]/C","cfo/observation_front/fft_core/m_i_reg[20]/CE","clk500","clk500","2.510","6","-0.010","0.035"
"clk500","-0.613","2.000","cfo/reset_fast/arststages_ff_reg[3]/C","cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_13/ENBWREN","clk500","clk500","2.247","3","0.011","0.035"
"clk500","-0.612","2.000","cfo/observation_front/fft_core/sub_i6_reg[4]/C","cfo/observation_front/fft_core/bank0_reg_bram_0/DINPADINP[0]","clk500","clk500","2.359","8","0.010","0.035"
"clk500","-0.607","2.000","cfo/observation_front/fft_core/sub_i6_reg[4]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[28]","clk500","clk500","2.340","8","0.010","0.035"
"clk500","-0.606","2.000","cfo/observation_front/fft_core/add_q6_reg[6]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[15]","clk500","clk500","2.323","7","0.009","0.035"
