group,endpoints,tns_ns,wns_ns
clk500:cfo/observation_front/fft_core,707,-227.838,-0.727
clk150:sfo/two_pass_transport/first_resampling,560,-80.448,-0.548
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank,290,-57.192,-0.766
clk500:sfo/residual_estimator/front_stage,258,-52.805,-0.537
clk500:cfo/observation_front,249,-51.258,-0.544
clk500:sfo/residual_estimator/aux_service,296,-46.171,-0.544
clk500:sfo/initial_estimator/owner,146,-37.323,-0.512
clk150:sfo/two_pass_transport/second_resampling,223,-22.945,-0.6
clk500:cfo/windows/packed_windows,101,-22.591,-0.649
clk150:cfo/coarse_banks[1].memory/u_frame_memory,153,-14.645,-0.384
clk150:cfo/coarse_banks[0].memory/u_frame_memory,115,-10.551,-0.334
clk500:cfo/estimator/observation_fifo,59,-8.944,-0.215
clk150:sfo/two_pass_transport/shared_raw.hub,89,-6.612,-0.29
clk150:sfo/two_pass_transport/intermediate[1].intermediate_bank,22,-2.088,-0.207
clk150:sfo/two_pass_transport/output_buffer,30,-1.796,-0.131
clk500:cfo/estimator,14,-1.605,-0.181
clk500:cfo/windows,19,-0.978,-0.107
clk500:cfo/observation_front/index_base_reg,1,-0.525,-0.525
clk150:cfo/estimator/backend,4,-0.277,-0.121
