group,endpoints,tns_ns,wns_ns
clk500:cfo/observation_front/fft_core/m_generation_reg[]/C -> cfo/observation_front/fft_core/issue_index_reg[]/CE,10,-4.404,-0.474
clk500:cfo/observation_front/fft_core/m_generation_reg[]/C -> cfo/observation_front/fft_core/m_index_reg[]/CE,11,-4.379,-0.635
clk500:sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/axi_wrapper/sclr_int_reg/C -> sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/proc0_counter/cnt_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/R,11,-4.37,-0.418
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_96/CAS_IN_BWE_B[],9,-4.353,-0.583
clk500:cfo/observation_front/fft_core/FSM_sequential_state_reg[]/C -> cfo/observation_front/fft_core/pr5_reg[]/CE,28,-4.328,-0.204
clk500:cfo/reset_fast/arststages_ff_reg[]/C -> cfo/observation_front/index_stage_reg[]/CE,10,-4.218,-0.482
clk500:cfo/observation_front/fft_core/sub_i6_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_1/DINADIN[],7,-4.205,-0.669
clk500:sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/timing_cnts_has_nfft.run_time_sel_reg[]/C -> sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/pe_gen[3].natural_order_input.PE/bypass_muxes.din_im_mux_gen[].reg/D,15,-4.158,-0.513
clk150:sfo/two_pass_transport/second_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/second_resampling/engine/phase_counter_reg[]/R,7,-4.151,-0.6
clk500:sfo/initial_estimator/owner/fft/reset_sync500/syncstages_ff_reg[]/C -> sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/axi_wrapper/data_out_channel/gen_real_time.data_out_reg[]/R,19,-4.115,-0.391
clk500:cfo/observation_front/fft_core/add_i6_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_1/DINADIN[],7,-4.113,-0.667
clk500:sfo/residual_estimator/front_stage/main/service/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/gen_rst_ic.wr_rst_busy_ic_reg/C -> sfo/residual_estimator/front_stage/main/service/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp1_inst/count_value_i_reg[]/D,11,-4.053,-0.462
