group,endpoints,tns_ns,wns_ns
clk150:poison_sync/syncstages_ff_reg[]/C -> cfo/coarse_banks[0].memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_71/CAS_IN_BWE_B[],9,-1.365,-0.259
clk150:poison_sync/syncstages_ff_reg[]/C -> cfo/coarse_banks[1].memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_31/CAS_IN_BWE_B[],9,-1.351,-0.217
clk500:sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/axi_wrapper/gen_has_nfft.nfft_we_int_reg/C -> sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/reset_sustain.resets_4_pes[5].delay_reset_pe/count_addsub_reg[].addsub_reg/R,6,-1.35,-0.226
clk500:sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/axi_wrapper/reset_pipe_reg[]/C -> sfo/initial_estimator/owner/fft/u_ingress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdp_inst/count_value_i_reg[]/D,8,-1.348,-0.228
clk150:sfo/two_pass_transport/first_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/first_resampling/engine/core/stream/arithmetic/real_channel[26].u_real/pre_da/g18.u_add/U0/xst_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/D,9,-1.334,-0.176
clk500:cfo/windows/sample_index_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdp_inst/count_value_i_reg[]/D,11,-1.325,-0.399
clk500:sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/axi_wrapper/sclr_int_reg/C -> sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/has_scale_sch_buffer.scale_sch_int_reg[]/S,6,-1.32,-0.225
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_94/CAS_IN_BWE_B[],9,-1.313,-0.226
clk150:sfo/two_pass_transport/second_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/second_resampling/engine/core/stream/arithmetic/real_channel[28].u_real/pre_ab2/g18.u_add/U0/xst_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/D,10,-1.31,-0.233
clk500:sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/proc0_counter/cnt_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/C -> sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/axi_wrapper/frames_in_progress_reg[]/CE,3,-1.293,-0.431
clk500:cfo/observation_front/m_frame_reg[]/C -> cfo/estimator/expected_window_reg[]/CE,7,-1.236,-0.181
clk150:cfo/coarse_rotation/output4_reg[]/C -> cfo/coarse_banks[0].memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_121/CAS_IN_DIN_B[],14,-1.236,-0.167
clk500:cfo/observation_front/fft_core/FSM_sequential_state_reg[]_rep/C -> cfo/observation_front/fft_core/ai3_reg[]/CE,14,-1.229,-0.27
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_137/CAS_IN_BWE_B[],9,-1.208,-0.216
clk500:sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/timing_cnts_has_nfft.duplicate_regs[].other.nfft_regs[].nfft_regs_fde/C -> sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/has_bit_reverse.var_pt_size_muxed_addresses.left_shifter/r14.shifter/use_mux16.use_lut6.sixteen_to_one_mux[].use_output_reg_and_pipe_reg.reg0/D,12,-1.175,-0.186
clk500:sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/pe_gen[0].natural_order_input.PE/has_addr_gen.tw_addr_gen/cnt/cnt_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/C -> sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/pe_gen[0].natural_order_input.PE/has_TW_mult.sync_tw_addr/no_sclr_lut.real_shift_ram.use_baseblock.use_hlutnm_srls.srl_loop[].i_srl16e0/D,4,-1.172,-0.423
clk150:cfo/coarse_rotation/output4_reg[]/C -> cfo/coarse_banks[1].memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_7/CAS_IN_DIN_B[],12,-1.156,-0.146
clk500:sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/axi_wrapper/sclr_int_reg/C -> sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/reset_sustain.resets_4_pes[2].delay_reset_pe/count_addsub_reg[].addsub_reg/R,5,-1.147,-0.23
clk500:cfo/observation_front/fft_core/input_index_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_1/DINADIN[],2,-1.145,-0.591
clk500:sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/axi_wrapper/sclr_int_reg/C -> sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/has_scale_sch_buffer.scale_sch_out_i_reg[]/S,6,-1.117,-0.225
clk150:sfo/two_pass_transport/second_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/second_resampling/engine/state_reg[]/CE,3,-1.116,-0.372
clk500:sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/axi_wrapper/sclr_int_reg/C -> sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/has_scale_sch_buffer.scale_sch_int_reg[]/S,6,-1.095,-0.241
clk500:sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/axi_wrapper/sclr_int_reg/C -> sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/has_scale_sch_buffer.scale_sch_out_i_reg[]/S,6,-1.095,-0.241
clk500:sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/has_overflow.natural_ovflo.DOUT_DONE_E_CNT/no_early_reg.I_TC_reg/C -> sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/pe_gen[1].natural_order_input.OVFLO_FIFO/rd_cnt_reg[]/CE,4,-1.064,-0.266
clk500:sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/axi_wrapper/sclr_int_reg/C -> sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/reset_sustain.resets_4_pes[1].delay_reset_pe/count_addsub_reg[].addsub_reg/R,5,-1.039,-0.208
clk500:cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdp_inst/count_value_i_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_3/ADDRBWRADDR[],6,-1.034,-0.459
clk150:poison_sync/syncstages_ff_reg[]/C -> cfo/coarse_banks[0].memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_121/CAS_IN_BWE_B[],9,-1.032,-0.236
clk500:cfo/reset_fast/arststages_ff_reg[]/C -> cfo/observation_front/fft_core/m_saturations_reg[]/R,12,-1.012,-0.1
clk500:sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/axi_wrapper/gen_has_nfft.nfft_we_int_reg/C -> sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/reset_sustain.resets_4_pes[1].delay_reset_pe/count_addsub_reg[].addsub_reg/R,5,-1.007,-0.202
clk500:cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdp_inst/count_value_i_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_2/ADDRBWRADDR[],5,-1.0,-0.377
clk500:sfo/residual_estimator/front_stage/main/service/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/gen_rst_ic.wr_rst_busy_ic_reg/C -> sfo/residual_estimator/front_stage/main/service/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp1_inst/count_value_i_reg[]/CE,12,-0.978,-0.155
clk150:sfo/two_pass_transport/first_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/first_resampling/engine/core/stream/lane_phase_reg[][]_replica/D,2,-0.954,-0.548
clk500:sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/axi_wrapper/gen_has_nfft.nfft_we_int_reg/C -> sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/reset_sustain.resets_4_pes[3].delay_reset_pe/count_addsub_reg[].addsub_reg/R,5,-0.947,-0.19
clk500:cfo/observation_front/fft_core/FSM_sequential_state_reg[]/C -> cfo/observation_front/fft_core/ai5_reg[]/CE,13,-0.947,-0.136
clk500:sfo/residual_estimator/front_stage/main/service/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/xpm_fifo_rst_inst/gen_rst_ic.wr_rst_busy_ic_reg/C -> sfo/residual_estimator/front_stage/main/service/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp2_inst/count_value_i_reg[]/CE,12,-0.919,-0.151
clk150:sfo/two_pass_transport/first_resampling/engine/pack/m_data_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_97/CAS_IN_DIN_B[],10,-0.911,-0.172
clk500:cfo/observation_front/fft_core/FSM_sequential_state_reg[]/C -> cfo/observation_front/fft_core/ai4_reg[]/CE,9,-0.903,-0.26
clk150:sfo/two_pass_transport/first_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/first_resampling/engine/core/stream/arithmetic/real_channel[26].u_real/pre_ca/g18.u_add/U0/xst_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/D,11,-0.897,-0.125
clk500:cfo/observation_front/fft_core/FSM_sequential_state_reg[]_rep/C -> cfo/observation_front/fft_core/ai2_reg[]/CE,11,-0.895,-0.279
clk500:sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/axi_wrapper/sclr_int_reg/C -> sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/reset_sustain.resets_4_pes[4].delay_reset_pe/count_addsub_reg[].addsub_reg/R,5,-0.889,-0.178
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_145/CAS_IN_BWE_B[],9,-0.881,-0.187
clk500:sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/axi_wrapper/CP_LEN_WE_reg/C -> sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/has_scale_sch_buffer.scale_sch_int_reg[]/CE,4,-0.876,-0.269
clk500:cfo/observation_front/fft_core/add_i6_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_1/DINADIN[],2,-0.857,-0.443
clk150:cfo/coarse_rotation/output4_reg[]/C -> cfo/coarse_banks[1].memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_15/CAS_IN_DIN_B[],18,-0.856,-0.185
clk150:sfo/two_pass_transport/shared_raw.hub/raw_store/ram_ra_reg[]/C -> sfo/two_pass_transport/shared_raw.hub/raw_store/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_127/CAS_IN_ADDR_A[],6,-0.841,-0.29
clk150:sfo/two_pass_transport/fault_125_to_150/syncstages_ff_reg[]/C -> sfo/two_pass_transport/intermediate[1].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_153/CAS_IN_BWE_B[],8,-0.837,-0.165
clk500:sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/has_nfft._nfft_value.NFFT_int_tmp_reg[]/C -> sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/has_nfft.counter_limit_early_reg[].max_n_int_minus_one_ff/D,8,-0.831,-0.255
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_104/CAS_IN_BWE_B[],7,-0.83,-0.192
clk500:sfo/initial_estimator/owner/fft/reset_sync500/syncstages_ff_reg[]/C -> sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/axi_wrapper/config_channel_fifo/gen_real_time.data_out_reg[]/CE,4,-0.828,-0.233
clk500:sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/pe_gen[0].natural_order_input.PE/has_addr_gen.tw_addr_gen/cnt/cnt_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/C -> sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/pe_gen[0].natural_order_input.PE/delay_addr_tw/no_sclr_lut.real_shift_ram.use_baseblock.use_hlutnm_srls.srl_loop[].i_srl16e0/D,5,-0.824,-0.323
clk500:sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/has_overflow.natural_ovflo.DOUT_DONE_E_CNT/no_early_reg.I_TC_reg/C -> sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/pe_gen[0].natural_order_input.OVFLO_FIFO/rd_cnt_reg[]/CE,4,-0.818,-0.205
clk500:cfo/reset_fast/arststages_ff_reg[]/C -> cfo/observation_front/m_generation_reg[]/CE,12,-0.812,-0.111
clk500:cfo/observation_front/fft_core/sub_i6_reg[]/C -> cfo/observation_front/fft_core/m_saturations_reg[]/D,2,-0.81,-0.413
clk500:cfo/reset_fast/arststages_ff_reg[]/C -> cfo/observation_front/fft_core/FSM_sequential_state_reg[]/CE,2,-0.808,-0.416
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_118/CAS_IN_BWE_B[],7,-0.799,-0.159
clk500:cfo/windows/fast_fault_reg/C -> cfo/observation_front/fft_core/bank1_reg_bram_1/DINADIN[],2,-0.786,-0.405
clk500:sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/has_nfft._nfft_value.NFFT_int_tmp_reg[]/C -> sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/has_nfft.counter_limit_reg[].max_n_int_minus_one_ff/D,7,-0.786,-0.282
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/write_next_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_121/CAS_IN_ADDR_B[],9,-0.783,-0.179
clk500:cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdp_inst/count_value_i_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_1/ADDRBWRADDR[],4,-0.778,-0.319
clk150:sfo/two_pass_transport/first_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/first_resampling/engine/core/stream/credit_used_reg[]/D,6,-0.762,-0.22
clk150:sfo/two_pass_transport/first_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/first_resampling/engine/core/stream/arithmetic/real_channel[0].u_real/pre_ab2/g18.u_add/U0/xst_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/D,12,-0.76,-0.1
clk500:sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/has_overflow.natural_ovflo.DOUT_DONE_E_CNT/no_early_reg.I_TC_reg/C -> sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/pe_gen[0].natural_order_input.OVFLO_FIFO/rd_cnt_reg[]/D,3,-0.752,-0.272
clk150:poison_sync/syncstages_ff_reg[]/C -> cfo/coarse_banks[0].memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_160/CAS_IN_BWE_B[],8,-0.751,-0.165
clk150:sfo/two_pass_transport/second_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/second_resampling/engine/core/stream/ring_reg[][]/CE,15,-0.733,-0.154
clk500:sfo/initial_estimator/owner/fft/reset_sync500/syncstages_ff_reg[]/C -> sfo/initial_estimator/owner/fft/u_egress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_0/WEBWE[],2,-0.731,-0.372
clk500:cfo/observation_front/fft_core/m_generation_reg[]/C -> cfo/observation_front/fft_core/half_span_reg[]/CE,1,-0.72,-0.72
clk500:cfo/observation_front/fft_core/m_generation_reg[]/C -> cfo/observation_front/fft_core/FSM_sequential_state_reg[]/D,2,-0.717,-0.455
clk500:sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/reset_delays[].other.reset_del_reg[]/C -> sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/pe_gen[1].natural_order_input.PE/has_addr_gen.tw_addr_gen/cnt/cnt_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/R,11,-0.709,-0.075
clk500:cfo/observation_front/fft_core/m_generation_reg[]/C -> cfo/observation_front/fft_core/tw_index_reg_rep/ENARDEN,1,-0.705,-0.705
clk150:sfo/two_pass_transport/shared_raw.hub/raw_store/ram_ra_reg[]/C -> sfo/two_pass_transport/shared_raw.hub/raw_store/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_143/CAS_IN_ADDR_A[],8,-0.686,-0.157
clk150:sfo/two_pass_transport/shared_raw.hub/raw_store/ram_ra_reg[]/C -> sfo/two_pass_transport/shared_raw.hub/raw_store/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_151/CAS_IN_ADDR_A[],8,-0.664,-0.192
clk500:cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdp_inst/count_value_i_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_11/ADDRBWRADDR[],3,-0.661,-0.351
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_97/CAS_IN_EN_B,1,-0.657,-0.657
clk500:cfo/observation_front/fft_core/FSM_sequential_state_reg[]_rep/C -> cfo/observation_front/fft_core/tag_reg[][row_a][]/CE,7,-0.653,-0.247
clk500:cfo/reset_fast/arststages_ff_reg[]/C -> cfo/observation_front/fft_core/tag_reg[][row_a][]/R,7,-0.65,-0.13
clk500:cfo/windows/sample_index_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_13/REGCEB,1,-0.649,-0.649
clk500:cfo/windows/sample_index_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_11/ENBWREN,1,-0.647,-0.647
clk500:sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/proc0_counter/cnt_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/C -> sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/axi_wrapper/frames_in_progress_reg[]/D,2,-0.646,-0.352
clk150:sfo/two_pass_transport/second_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/second_resampling/engine/state_reg[]/D,4,-0.628,-0.184
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_97/CAS_IN_EN_A,1,-0.626,-0.626
clk500:cfo/windows/sample_index_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_10/ENBWREN,1,-0.619,-0.619
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_121/CAS_IN_EN_A,1,-0.617,-0.617
clk500:cfo/observation_front/fft_core/add_i6_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[],1,-0.615,-0.615
clk500:cfo/reset_fast/arststages_ff_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_13/ENBWREN,1,-0.613,-0.613
clk150:cfo/coarse_rotation/output4_reg[]/C -> cfo/coarse_banks[1].memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_161/CAS_IN_DIN_B[],10,-0.611,-0.169
clk500:sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/has_overflow.natural_ovflo.DOUT_DONE_E_CNT/no_early_reg.I_TC_reg/C -> sfo/initial_estimator/owner/fft/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/pe_gen[2].natural_order_input.OVFLO_FIFO/rd_cnt_reg[]/CE,4,-0.608,-0.152
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/issued_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_121/CAS_IN_ADDR_A[],5,-0.605,-0.26
clk150:sfo/two_pass_transport/intermediate[0].intermediate_bank/write_gen_reg[]/C -> sfo/two_pass_transport/intermediate[0].intermediate_bank/memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_121/CAS_IN_EN_B,1,-0.602,-0.602
clk150:cfo/coarse_rotation/output4_reg[]/C -> cfo/coarse_banks[0].memory/u_frame_memory/xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_uram_137/CAS_IN_DIN_B[],6,-0.599,-0.149
clk150:sfo/two_pass_transport/first_resampling/engine/core/stream/lane_phase_reg[][]/C -> sfo/two_pass_transport/first_resampling/engine/core/stream/arithmetic/real_channel[1].u_real/pre_da/g18.u_add/U0/xst_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/D,10,-0.597,-0.094
clk500:cfo/windows/fast_fault_reg/C -> cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[],1,-0.596,-0.596
clk500:cfo/reset_fast/arststages_ff_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_12/ENBWREN,1,-0.588,-0.588
clk500:cfo/observation_front/fft_core/FSM_sequential_state_reg[]/C -> cfo/observation_front/fft_core/tag_reg[][row_a][]/CE,8,-0.587,-0.155
clk500:cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdp_inst/count_value_i_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_8/ADDRBWRADDR[],2,-0.585,-0.401
clk500:cfo/reset_fast/arststages_ff_reg[]/C -> cfo/observation_front/fft_core/state_reg[]/CE,2,-0.582,-0.293
clk500:cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdp_inst/count_value_i_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_13/ADDRBWRADDR[],3,-0.579,-0.353
