group,endpoints,tns_ns,wns_ns
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/rr3_reg_i_1_psdsp/D,1,-0.117,-0.117
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/pr4_reg_i_2_psdsp/D,1,-0.116,-0.116
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/rr3_reg_i_1_psdsp_1/D,1,-0.115,-0.115
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_0/DINPADINP[],2,-0.114,-0.099
clk500:cfo/observation_front/fft_core/next_output_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_1/ENBWREN,1,-0.11,-0.11
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_5/ENBWREN,1,-0.109,-0.109
clk500:sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/axi_wrapper/sclr_int_reg/C -> sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/has_bit_reverse.fixed_pt_size_muxed_addresses.read_addr_fixed_nfft_delay/need_sclr_lut.depth1_shift_ram.FF_gen[].reg/D,2,-0.104,-0.064
clk500:cfo/observation_front/fft_core/next_output_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_0/ADDRBWRADDR[],4,-0.102,-0.042
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/rr3_reg_i_2_psdsp_1/D,1,-0.099,-0.099
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/rr3_reg_i_2_psdsp/D,1,-0.098,-0.098
clk500:cfo/observation_front/fft_core/input_index_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_0/ADDRARDADDR[],1,-0.097,-0.097
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/windows/packed_head_reg[]/D,5,-0.097,-0.026
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/rr3_reg_i_4_psdsp_1/D,1,-0.092,-0.092
clk500:cfo/observation_front/fft_core/state_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[],2,-0.074,-0.042
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/pr4_reg_i_5_psdsp/D,1,-0.072,-0.072
clk500:cfo/windows/header_active_reg/C -> cfo/windows/complete_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/ENARDEN,1,-0.068,-0.068
clk500:cfo/windows/output_record_reg[]/C -> cfo/observation_front/fft_core/state_reg[]/D,1,-0.068,-0.068
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_0/ENARDEN,1,-0.067,-0.067
clk500:cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_7/CLKBWRCLK -> cfo/windows/packed_tail_reg[]/D,1,-0.065,-0.065
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_8/ENBWREN,1,-0.064,-0.064
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/pr4_reg_i_1_psdsp/D,1,-0.063,-0.063
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/rdpp1_inst/count_value_i_reg[]/D,5,-0.062,-0.028
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_1/ENARDEN,1,-0.06,-0.06
clk500:cfo/windows/output_record_reg[]/C -> cfo/observation_front/fft_core/state_reg[]_replica/CE,1,-0.055,-0.055
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/pr4_reg_i_1_psdsp_1/D,1,-0.054,-0.054
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_9/ENBWREN,1,-0.049,-0.049
clk500:sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/axi_wrapper/data_in_channel_fifo/gen_real_time.full_reg/C -> sfo/residual_estimator/front_stage/main/service/u_ingress_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_wide.mem_reg_bram_1/ENARDEN,1,-0.043,-0.043
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_1/ENARDEN,1,-0.04,-0.04
clk500:cfo/observation_front/fft_core/next_output_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_0/ENBWREN,1,-0.04,-0.04
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_6/ENBWREN,1,-0.037,-0.037
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_14/ENBWREN,1,-0.036,-0.036
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/rr3_reg_i_3_psdsp_1/D,1,-0.034,-0.034
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/rr3_reg_i_3_psdsp/D,1,-0.033,-0.033
clk500:sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/pe_gen[0].natural_order_input.PE/has_TW_mult.TW/MUX0/four_inputs.use_lut6.no_lut_sclr.four_to_one_mux[].latency1.reg/C -> sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/pe_gen[0].natural_order_input.PE/has_TW_mult.TW/twiddle_generator/tw1.twgen1/sin_addr_2s_comp/use_output_reg.D_OUT_reg[]/D,1,-0.027,-0.027
clk500:sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/axi_wrapper/sclr_int_reg/C -> sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/reset_sustain.resets_4_pes[0].delay_reset_pe/tc_reg/S,1,-0.025,-0.025
clk500:cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_7/CLKBWRCLK -> cfo/windows/packed_head_reg[]/D,3,-0.024,-0.014
clk500:cfo/windows/header_active_reg/C -> cfo/windows/complete_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg/REGCEAREGCE,1,-0.023,-0.023
clk500:cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_14/CLKBWRCLK -> cfo/windows/packed_head_reg[]/D,1,-0.022,-0.022
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_0/ENBWREN,1,-0.022,-0.022
clk500:cfo/observation_front/fft_core/state_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_1/DINADIN[],1,-0.019,-0.019
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_0/DINADIN[],1,-0.017,-0.017
clk500:cfo/observation_front/fft_core/state_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_1/ADDRARDADDR[],1,-0.017,-0.017
clk500:cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK -> cfo/observation_front/pr4_reg_i_4_psdsp/D,1,-0.017,-0.017
clk500:cfo/observation_front/fft_core/state_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_0/DINPADINP[],1,-0.013,-0.013
clk500:sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/has_bit_reverse.no_cp.muxed_reorder_write_addr_del_reg[]/C -> sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/has_bit_reverse.dig_rev_mem/blk_ram.use_bram_only.mem/depth_14.main_ram_loop[].use_RAMB18.ram_2k_loop[].SDP_RAMB18_9x2048/WEA[],2,-0.013,-0.011
clk500:cfo/observation_front/fft_core/offset_in_group_reg[]/C -> cfo/observation_front/fft_core/bank1_reg_bram_1/ADDRBWRADDR[],1,-0.011,-0.011
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_7/REGCEB,1,-0.01,-0.01
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_10/ENBWREN,1,-0.009,-0.009
clk500:cfo/observation_front/fft_core/offset_in_group_reg[]/C -> cfo/observation_front/fft_core/bank0_reg_bram_0/ADDRBWRADDR[],1,-0.008,-0.008
clk500:sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/pe_gen[0].natural_order_input.PE/has_addr_gen.bf2_addr_gen/cnt/cnt_addsub/i_baseblox.i_baseblox_addsub/no_pipelining.the_addsub/i_lut6.i_lut6_addsub/i_q.i_simple.qreg/i_no_async_controls.output_reg[]/C -> sfo/residual_estimator/aux_service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/pe_gen[0].natural_order_input.PE/FB_1.BF_1/MEM/blk_ram.use_bram_only.mem/depth_13_s6_depth_12.main_ram_loop[].use_RAMB18.ram_2k_loop[].SDP_RAMB18_9x2048/ADDRBWRADDR[],1,-0.004,-0.004
clk500:sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/axi_wrapper/sclr_int_reg/C -> sfo/residual_estimator/front_stage/main/service/u_xfft/U0/i_synth/xfft_inst/non_floating_point.arch_d.xfft_inst/FLOW/reset_sustain.resets_4_pes[1].delay_reset_pe/tc_reg/S,1,-0.003,-0.003
clk500:cfo/windows/poison_sync/syncstages_ff_reg[]/C -> cfo/observation_front/fft_core/m_frame_reg[]/CE,1,-0.002,-0.002
