"GROUP","SLACK","REQUIREMENT","STARTPOINT_PIN","ENDPOINT_PIN","STARTPOINT_CLOCK","ENDPOINT_CLOCK","DATAPATH_DELAY","LOGIC_LEVELS","SKEW","UNCERTAINTY"
"clk500","-0.140","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[88]/CE","clk500","clk500","2.037","4","-0.007","0.035"
"clk500","-0.138","2.000","cfo/windows/output_record_reg[80]/C","cfo/observation_front/fft_core/m_error_reg[1]/CE","clk500","clk500","2.033","6","-0.009","0.035"
"clk500","-0.134","2.000","cfo/windows/output_record_reg[80]/C","cfo/observation_front/fft_core/input_index_reg[2]/CE","clk500","clk500","2.029","6","-0.009","0.035"
"clk500","-0.134","2.000","cfo/windows/output_record_reg[80]/C","cfo/observation_front/fft_core/input_index_reg[4]/CE","clk500","clk500","2.029","6","-0.009","0.035"
"clk500","-0.134","2.000","cfo/windows/output_record_reg[80]/C","cfo/observation_front/fft_core/input_index_reg[5]/CE","clk500","clk500","2.029","6","-0.009","0.035"
"clk500","-0.133","2.000","cfo/windows/output_record_reg[80]/C","cfo/observation_front/fft_core/input_index_reg[3]/CE","clk500","clk500","2.029","6","-0.009","0.035"
"clk500","-0.133","2.000","cfo/windows/output_record_reg[80]/C","cfo/observation_front/fft_core/input_index_reg[6]/CE","clk500","clk500","2.029","6","-0.009","0.035"
"clk500","-0.133","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/pr4_reg_i_3_psdsp/D","clk500","clk500","2.067","2","-0.056","0.035"
"clk500","-0.132","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_7/ENBWREN","clk500","clk500","1.767","3","0.012","0.035"
"clk500","-0.131","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[22]","clk500","clk500","1.841","3","0.011","0.035"
"clk500","-0.131","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrp_inst/count_value_i_reg[0]/CE","clk500","clk500","2.028","4","-0.008","0.035"
"clk500","-0.131","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp1_inst/count_value_i_reg[4]/CE","clk500","clk500","2.028","4","-0.008","0.035"
"clk500","-0.129","2.000","cfo/windows/output_record_reg[80]/C","cfo/observation_front/fft_core/input_index_reg[7]/CE","clk500","clk500","2.024","6","-0.010","0.035"
"clk500","-0.129","2.000","cfo/windows/output_record_reg[80]/C","cfo/observation_front/fft_core/input_index_reg[9]/CE","clk500","clk500","2.024","6","-0.010","0.035"
"clk500","-0.129","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/pr4_reg_i_2_psdsp_1/D","clk500","clk500","2.063","2","-0.056","0.035"
"clk500","-0.129","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/window_credits/fifo/gnuram_async_fifo.xpm_fifo_base_inst/wrpp1_inst/count_value_i_reg[3]/CE","clk500","clk500","2.026","4","-0.008","0.035"
"clk500","-0.129","2.000","cfo/windows/output_record_reg[80]/C","cfo/observation_front/fft_core/input_index_reg[8]/CE","clk500","clk500","2.025","6","-0.010","0.035"
"clk500","-0.128","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/ADDRARDADDR[5]","clk500","clk500","1.752","3","0.011","0.035"
"clk500","-0.128","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/ADDRARDADDR[4]","clk500","clk500","1.770","3","0.011","0.035"
"clk500","-0.126","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/DINADIN[6]","clk500","clk500","1.865","3","0.011","0.035"
"clk500","-0.126","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[19]/CE","clk500","clk500","2.023","4","-0.007","0.035"
"clk500","-0.126","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[25]/CE","clk500","clk500","2.023","4","-0.007","0.035"
"clk500","-0.126","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[37]/CE","clk500","clk500","2.023","4","-0.007","0.035"
"clk500","-0.126","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[39]/CE","clk500","clk500","2.023","4","-0.007","0.035"
"clk500","-0.125","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/pr4_reg_i_3_psdsp_1/D","clk500","clk500","2.059","2","-0.056","0.035"
"clk500","-0.124","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[6]","clk500","clk500","1.856","3","0.011","0.035"
"clk500","-0.124","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[112]/CE","clk500","clk500","2.021","4","-0.007","0.035"
"clk500","-0.122","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[14]","clk500","clk500","1.856","3","0.011","0.035"
"clk500","-0.122","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank0_reg_bram_1/ADDRARDADDR[10]","clk500","clk500","1.806","3","0.013","0.035"
"clk500","-0.121","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/packed_windows/fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_bram_4/ENBWREN","clk500","clk500","1.756","3","0.012","0.035"
"clk500","-0.118","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_0/DINADIN[25]","clk500","clk500","1.834","3","0.011","0.035"
"clk500","-0.118","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/pr4_reg_i_4_psdsp_1/D","clk500","clk500","2.052","2","-0.056","0.035"
"clk500","-0.117","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/DINADIN[7]","clk500","clk500","1.851","3","0.011","0.035"
"clk500","-0.117","2.000","cfo/observation_front/fft_core/offset_in_group_reg[0]/C","cfo/observation_front/fft_core/tw_index_reg_rep/ADDRARDADDR[5]","clk500","clk500","1.740","4","0.010","0.035"
"clk500","-0.117","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/observation_front/fft_core/bank1_reg_bram_1/ADDRARDADDR[8]","clk500","clk500","1.826","3","0.011","0.035"
"clk500","-0.117","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/rr3_reg_i_1_psdsp/D","clk500","clk500","2.051","2","-0.056","0.035"
"clk500","-0.117","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[10]/CE","clk500","clk500","2.014","4","-0.007","0.035"
"clk500","-0.117","2.000","cfo/windows/poison_sync/syncstages_ff_reg[3]/C","cfo/windows/output_record_reg[40]/CE","clk500","clk500","2.014","4","-0.007","0.035"
"clk500","-0.116","2.000","cfo/observation_front/coefficient_page0_data_reg_0_1/CLKARDCLK","cfo/observation_front/pr4_reg_i_2_psdsp/D","clk500","clk500","2.050","2","-0.056","0.035"
